year,date,open,high,low,close,volume
2015,10/5/15,107.48,112.28,105.76,111.25,21157937
2015,10/6/15,110.33,112.25,105.64,108.33,20836303
2015,10/7/15,108.84,109.78,106.75,108.1,12329535
2015,10/8/15,107.94,115.05,102.6,114.93,42831944
2015,10/9/15,114.11,115.83,112.44,113.33,22455205
2015,10/12/15,114.45,115.42,112.36,113.45,12624497
2015,10/13/15,112.85,113.72,108.78,109.73,17512118
2015,10/14/15,111.5,111.63,108.05,110.23,33231481
2015,10/15/15,103.77,104.88,99.1,101.09,48484328
2015,10/16/15,100.21,101.65,98.41,98.99,21340511
2015,10/19/15,98.07,103.62,96.26,101.69,29964714
2015,10/20/15,101.06,102.11,97.58,98.99,17345614
2015,10/21/15,99.67,100.34,97.01,97.96,13759583
2015,10/22/15,98.07,99.93,96.86,97.32,12786768
2015,10/23/15,97.61,101.56,97.27,100.04,18019886
2015,10/26/15,100.05,103.31,99.38,103.04,12234824
2015,10/27/15,102.58,104.72,101.23,103.07,12066402
2015,10/28/15,102.9,106.21,102.06,105.8,13093962
2015,10/29/15,105,106.91,104.75,105.12,9841406
2015,10/30/15,105.12,110.1,104.9,108.38,15571468
2015,11/2/15,109.2,109.37,106.3,107.64,11784573
2015,11/3/15,107.36,111.05,107.24,109.74,12484136
2015,11/4/15,110.36,114.28,109.39,114.05,17505023
2015,11/5/15,113.75,115.68,111.72,113.5,13814939
2015,11/6/15,113.39,114.8,112.05,114.06,10936608
2015,11/9/15,113.36,114,108.64,109.86,16154632
2015,11/10/15,108.86,112.84,108.01,112.7,11166372
2015,11/11/15,113.08,114.61,111.41,112.86,11039154
2015,11/12/15,112.52,115.25,108.2,108.92,17568163
2015,11/13/15,108.34,109.07,103.27,103.65,18819418
2015,11/16/15,102.97,111.65,101.86,111.35,19866161
2015,11/17/15,112.11,118.79,111.7,117.1,32971616
2015,11/18/15,117.94,121,116.1,120.63,23353565
2015,11/19/15,120.25,123.13,119.61,120.22,19253236
2015,11/20/15,120.85,124.07,119.21,123.84,17977001
2015,11/23/15,124.3,126.2,121.66,125.03,15726984
2015,11/24/15,123.67,124.66,120.03,123.31,18335255
2015,11/25/15,124.23,125.2,122.36,124.16,10980677
2015,11/27/15,123.85,126.39,123.59,125.44,6645484
2015,11/30/15,126.03,126.6,122.89,123.33,13894031
2015,12/1/15,124.47,125.57,122.42,125.37,12550755
2015,12/2/15,125.53,131.35,124.93,128.93,24105712
2015,12/3/15,129.62,132.2,126.39,126.81,26647260
2015,12/4/15,127,130.99,125.75,130.93,20250411
2015,12/7/15,131.19,133.27,122.75,125.36,23351610
2015,12/8/15,121.51,128.24,121.1,126.98,18591147
2015,12/9/15,127.7,128.78,122.33,124.2,17788797
